,job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,year_graduated,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Last_achievement_%,Achievement_above_100%_during3quartal,Best Performance,total leave,age2,age3,year_graduated2,total_rotation,in study,person level up,sick_vs_leaves,age when graduated,age when graduated2,age per dependencies,age married male,papa muda,papa muda per tanggungan,job_level_oh,person_level_oh
10,JG05,2.82842712474619,PG06,2.23606797749979,0.707106781186548,RM_type_A,2,1966,Y,2,level_1,0.0,1985,29,8,9,0,11,3,46.3,0.0,0,14,non-ambis,4,old,17,finish,up,leave,19,0,18.0,0,0,0.0,JG05,PG06
11,JG04,1.3228756555323,PG03,1.3228756555323,0.707106781186548,RM_type_B,2,1989,Y,0,level_1,0.0,2007,3,2,2,0,8,0,49.15,0.0,0,8,ambis,2,new,4,finish,stay,leave,18,0,31.0,0,0,0.0,JG04,PG03
12,JG04,1.0816653826392,PG03,1.0816653826392,1.22474487139159,RM_type_B,1,1993,N,0,level_1,0.0,2011,3,2,2,0,3,0,44.93,0.0,0,3,ambis,2,new,4,finish,stay,leave,18,0,27.0,0,0,0.0,JG04,PG03
13,JG04,1.3856406460551,PG03,1.3856406460551,0.648074069840786,RM_type_B,2,1980,N,0,level_1,0.0,1999,5,6,3,0,5,5,73.56,1.0,0,10,non-ambis,3,old,9,finish,stay,sama,19,0,40.0,0,0,0.0,JG04,PG03
14,JG04,1.3856406460551,PG03,1.3856406460551,0.707106781186548,RM_type_B,2,1974,Y,0,level_1,0.0,1992,6,4,6,0,3,6,41.8,0.0,0,9,non-ambis,4,old,10,finish,stay,sick,18,0,46.0,0,0,0.0,JG04,PG03
15,JG04,1.3856406460551,PG03,1.3856406460551,0.707106781186548,RM_type_A,2,1988,Y,3,level_1,0.0,2009,3,3,4,1,10,2,43.54,0.0,0,12,ambis,2,new,8,finish,stay,leave,21,0,8.0,0,0,0.0,JG04,PG03
16,JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_B,1,1990,Y,0,level_1,0.0,2008,3,2,3,0,11,2,31.08,0.0,0,13,ambis,2,new,5,finish,stay,leave,18,0,30.0,30,30,30.0,JG04,PG03
17,JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_A,2,1990,Y,1,level_1,0.0,2009,3,3,5,0,6,4,44.24,0.0,0,10,ambis,2,new,8,finish,stay,leave,19,0,15.0,0,0,0.0,JG04,PG03
18,JG04,1.1180339887498998,PG03,1.1180339887498998,0.707106781186548,RM_type_B,2,1993,N,0,level_1,0.0,2012,3,2,2,0,3,0,25.86,0.0,0,3,ambis,2,new,4,finish,stay,leave,19,0,27.0,0,0,0.0,JG04,PG03
19,JG04,1.1180339887498998,PG03,1.1180339887498998,1.1180339887498998,RM_type_B,1,1994,Y,0,level_1,0.0,2013,3,2,2,0,1,1,13.39,0.0,0,2,ambis,2,new,4,finish,stay,sama,19,0,26.0,26,26,26.0,JG04,PG03
20,JG05,2.73861278752583,PG05,1.0,1.3527749258468702,RM_type_A,2,1969,Y,2,level_1,0.0,1989,24,10,5,0,5,0,34.79,0.0,0,5,non-ambis,4,old,15,finish,up,leave,20,0,17.0,0,0,0.0,JG05,PG05
21,JG04,1.29228479833201,PG03,1.29228479833201,1.1916375287813,RM_type_A,2,1991,Y,1,level_1,0.0,2009,2,2,3,0,3,0,42.71,0.0,0,3,ambis,2,new,5,finish,stay,leave,18,0,14.5,0,0,0.0,JG04,PG03
22,JG05,2.82842712474619,PG06,1.0,1.22474487139159,RM_type_A,2,1967,Y,3,level_1,0.0,1988,27,5,6,0,2,3,53.71,0.0,1,5,non-ambis,4,old,11,finish,up,sick,21,0,13.25,0,0,0.0,JG05,PG06
23,JG04,2.82842712474619,PG04,2.82842712474619,1.6822603841260702,RM_type_A,2,1964,Y,3,level_1,0.0,1983,34,9,9,0,3,2,46.56,0.0,0,5,non-ambis,5,old,18,finish,stay,leave,19,0,14.0,0,0,0.0,JG04,PG04
24,JG04,1.22474487139159,PG03,1.22474487139159,1.15325625946708,RM_type_B,1,1991,N,0,level_1,0.0,2009,2,2,2,0,2,1,45.16,0.0,1,3,ambis,2,new,4,finish,stay,leave,18,0,29.0,0,0,0.0,JG04,PG03
25,JG05,2.82842712474619,PG06,2.12132034355964,1.4142135623731005,RM_type_A,2,1965,Y,3,level_1,0.0,1985,29,13,5,1,3,0,40.1,0.0,0,3,non-ambis,4,old,19,finish,up,leave,20,0,13.75,0,0,0.0,JG05,PG06
26,JG04,1.3856406460551,PG03,1.3856406460551,1.47309198626562,RM_type_B,1,1994,N,0,level_1,0.0,2012,2,1,2,0,3,0,42.6,0.0,0,3,ambis,2,new,3,finish,stay,leave,18,0,26.0,0,0,0.0,JG04,PG03
27,JG04,1.15325625946708,PG03,1.15325625946708,1.5556349186104,RM_type_A,2,1990,Y,1,level_1,0.0,2008,2,1,3,0,1,0,49.91,0.0,0,1,ambis,2,new,4,finish,stay,leave,18,0,15.0,0,0,0.0,JG04,PG03
28,JG04,1.3527749258468702,PG03,1.3527749258468702,1.1180339887498998,RM_type_B,2,1991,Y,1,level_1,0.0,2009,3,2,2,0,3,2,13.71,0.0,0,5,ambis,2,new,4,finish,stay,leave,18,0,14.5,0,0,0.0,JG04,PG03
29,JG04,1.3228756555323,PG03,1.3228756555323,1.5,RM_type_A,2,1990,Y,2,level_1,0.0,2008,2,2,3,0,3,0,46.56,0.0,0,3,ambis,2,new,5,finish,stay,leave,18,0,10.0,0,0,0.0,JG04,PG03
30,JG05,2.82842712474619,PG07,2.82842712474619,0.0,RM_type_A,1,1967,Y,3,level_1,0.0,1986,31,11,8,7,1,3,91.95,2.0,0,4,non-ambis,4,old,26,finish,stay,sick,19,0,13.25,53,0,0.0,JG05,PG07
31,JG05,2.82842712474619,PG06,2.44948974278318,0.707106781186548,RM_type_A,2,1965,Y,3,level_1,0.0,1985,28,7,9,17,5,0,64.05,0.0,0,5,non-ambis,4,old,33,finish,up,leave,20,0,13.75,0,0,0.0,JG05,PG06
32,JG04,1.15325625946708,PG03,1.15325625946708,1.58113883008419,RM_type_B,1,1996,N,0,level_1,0.0,2013,3,1,2,0,2,2,102.38,1.0,0,4,ambis,1,new,3,finish,stay,sama,17,0,24.0,0,0,0.0,JG04,PG03
33,JG04,1.22474487139159,PG03,1.22474487139159,1.1180339887498998,RM_type_B,2,1989,Y,1,level_1,0.0,2007,2,2,2,0,2,0,97.3,1.0,1,2,ambis,2,new,4,finish,stay,leave,18,0,15.5,0,0,0.0,JG04,PG03
34,JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_B,2,1993,Y,0,level_1,0.0,2011,2,2,2,0,6,0,103.87,1.0,0,6,ambis,2,new,4,finish,stay,leave,18,0,27.0,0,0,0.0,JG04,PG03
35,JG04,1.2569805089976498,PG03,1.2569805089976498,1.5,RM_type_B,2,1986,Y,1,level_1,0.0,2004,2,1,2,0,4,0,78.2,0.0,1,4,ambis,2,new,3,finish,stay,leave,18,0,17.0,0,0,0.0,JG04,PG03
36,JG04,1.29228479833201,PG03,1.29228479833201,1.22474487139159,RM_type_A,2,1988,Y,0,level_1,0.0,2015,7,3,5,0,7,0,88.45,3.0,0,7,ambis,2,new,8,finish,stay,leave,27,0,32.0,0,0,0.0,JG04,PG03
37,JG05,1.4142135623731005,PG05,1.4142135623731005,1.1916375287813,RM_type_A,2,1977,Y,1,level_1,0.0,1995,18,12,9,11,10,2,66.03,0.0,0,12,non-ambis,3,old,32,finish,stay,leave,18,0,21.5,0,0,0.0,JG05,PG05
38,JG05,2.82842712474619,PG06,2.34520787991171,1.4142135623731005,RM_type_A,2,1976,Y,2,level_1,0.0,1995,22,8,7,6,6,0,73.73,2.0,0,6,non-ambis,3,old,21,finish,up,leave,19,0,14.666666666666666,0,0,0.0,JG05,PG06
39,JG05,2.39791576165636,PG05,1.0,1.22474487139159,RM_type_A,2,1975,Y,3,level_1,0.0,1992,22,10,8,5,3,1,70.74,0.0,0,4,non-ambis,3,old,23,finish,up,leave,17,0,11.25,0,0,0.0,JG05,PG05
40,JG04,1.3228756555323,PG03,1.3228756555323,0.707106781186548,RM_type_B,1,1995,N,0,level_1,0.0,2013,3,2,2,0,2,0,73.87,0.0,0,2,ambis,1,new,4,finish,stay,leave,18,0,25.0,0,0,0.0,JG04,PG03
41,JG04,2.73861278752583,PG04,2.82842712474619,0.707106781186548,RM_type_A,2,1965,Y,2,level_1,0.0,1986,30,5,10,0,10,11,28.33,0.0,0,21,non-ambis,4,old,15,finish,stay,sick,21,0,18.333333333333332,0,0,0.0,JG04,PG04
42,JG05,1.3228756555323,PG05,1.3228756555323,2.12132034355964,RM_type_A,1,1975,Y,1,level_1,0.0,1995,22,5,7,0,8,1,59.75,0.0,0,9,non-ambis,3,old,12,finish,stay,leave,20,0,22.5,45,0,0.0,JG05,PG05
43,JG05,2.6925824035672496,PG06,2.34520787991171,1.1916375287813,RM_type_A,2,1967,Y,2,level_1,0.0,1987,29,9,7,0,2,0,88.32,1.0,1,2,non-ambis,4,old,16,finish,up,leave,20,0,17.666666666666668,0,0,0.0,JG05,PG06
44,JG04,1.6062378404209,PG03,1.6062378404209,0.707106781186548,RM_type_B,2,1977,Y,2,level_1,0.0,1996,5,4,5,0,4,0,113.03,2.0,0,4,non-ambis,3,old,9,finish,stay,leave,19,0,14.333333333333334,0,0,0.0,JG04,PG03
45,JG04,1.2569805089976498,PG03,1.2569805089976498,1.58113883008419,RM_type_B,2,1975,Y,3,level_1,0.0,1993,5,2,5,0,6,0,64.05,0.0,0,6,non-ambis,3,old,7,finish,stay,leave,18,0,11.25,0,0,0.0,JG04,PG03
46,JG04,1.3856406460551,PG03,1.3856406460551,1.22474487139159,RM_type_A,2,1988,Y,2,level_1,0.0,2006,5,3,3,2,3,1,121.61,3.0,0,4,ambis,2,new,8,finish,stay,leave,18,0,10.666666666666666,0,0,0.0,JG04,PG03
47,JG05,2.82842712474619,PG06,2.34520787991171,0.91104335791443,RM_type_A,2,1966,Y,2,level_1,0.0,1985,28,9,7,1,3,0,99.97,2.0,1,3,non-ambis,4,old,17,finish,up,leave,19,0,18.0,0,0,0.0,JG05,PG06
48,JG04,1.6062378404209,PG03,1.6062378404209,1.0392304845413298,RM_type_A,2,1976,Y,2,level_1,0.0,1995,5,3,2,5,10,0,105.86,3.0,0,10,non-ambis,3,old,10,finish,stay,leave,19,0,14.666666666666666,0,0,0.0,JG04,PG03
49,JG04,1.3856406460551,PG03,1.3856406460551,0.648074069840786,RM_type_C,2,1974,Y,2,level_1,0.0,2013,5,4,4,2,0,0,80.13,0.0,1,0,non-ambis,4,new,10,finish,stay,sama,39,0,15.333333333333334,0,0,0.0,JG04,PG03
50,JG04,2.82842712474619,PG04,2.23606797749979,0.8660254037844392,RM_type_A,2,1969,Y,4,level_1,0.0,1987,28,13,8,1,3,0,88.74,2.0,0,3,non-ambis,4,old,22,finish,up,leave,18,0,10.2,0,0,0.0,JG04,PG04
51,JG05,2.82842712474619,PG06,2.82842712474619,1.8248287590894696,RM_type_A,1,1969,Y,2,level_1,0.0,1988,28,7,8,0,8,3,109.3,3.0,0,11,non-ambis,4,old,15,finish,stay,leave,19,0,17.0,51,0,0.0,JG05,PG06
52,JG05,2.82842712474619,PG06,2.34520787991171,1.22474487139159,RM_type_A,2,1974,Y,1,level_1,0.0,1993,24,7,6,0,0,0,101.21,3.0,1,0,non-ambis,4,old,13,finish,up,sama,19,0,23.0,0,0,0.0,JG05,PG06
53,JG04,1.15325625946708,PG03,1.15325625946708,0.707106781186548,RM_type_B,2,1985,Y,1,level_1,0.0,2016,4,2,3,1,2,0,84.01,0.0,0,2,ambis,2,new,6,finish,stay,leave,31,0,17.5,0,0,0.0,JG04,PG03
54,JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_B,2,1986,Y,1,level_1,0.0,2005,3,2,2,0,5,2,109.65,1.0,0,7,ambis,2,new,4,finish,stay,leave,19,0,17.0,0,0,0.0,JG04,PG03
55,JG04,1.15325625946708,PG03,1.15325625946708,1.58113883008419,RM_type_B,1,1990,Y,1,level_1,0.0,2008,3,1,2,0,2,1,65.35,0.0,0,3,ambis,2,new,3,finish,stay,leave,18,0,15.0,30,30,15.0,JG04,PG03
56,JG04,1.1180339887498998,PG03,1.1180339887498998,1.1916375287813,RM_type_B,1,1993,N,0,level_1,0.0,2011,2,2,2,0,1,1,59.13,0.0,0,2,ambis,2,new,4,finish,stay,sama,18,0,27.0,0,0,0.0,JG04,PG03
57,JG04,1.15325625946708,PG03,1.15325625946708,1.1180339887498998,RM_type_A,2,1988,Y,1,level_1,0.0,2006,3,2,3,0,3,0,77.25,0.0,1,3,ambis,2,new,5,finish,stay,leave,18,0,16.0,0,0,0.0,JG04,PG03
58,JG05,2.82842712474619,PG06,1.4142135623731005,0.648074069840786,RM_type_A,2,1965,Y,2,level_1,0.0,1985,27,10,7,0,4,0,52.5,0.0,0,4,non-ambis,4,old,17,finish,up,leave,20,0,18.333333333333332,0,0,0.0,JG05,PG06
59,JG04,1.15325625946708,PG03,1.15325625946708,0.707106781186548,RM_type_B,1,1996,N,0,level_1,0.0,2013,2,2,2,0,3,0,79.59,0.0,0,3,ambis,1,new,4,finish,stay,leave,17,0,24.0,0,0,0.0,JG04,PG03
60,JG05,1.6340134638368202,PG06,0.0,1.22474487139159,RM_type_A,1,1968,Y,3,level_1,0.0,1987,25,14,9,1,2,0,98.86,3.0,1,2,non-ambis,4,old,24,finish,up,leave,19,0,13.0,52,0,0.0,JG05,PG06
61,JG05,2.82842712474619,PG06,2.23606797749979,0.707106781186548,RM_type_A,2,1975,Y,2,level_1,0.0,1994,23,12,6,3,3,2,101.44,3.0,0,5,non-ambis,3,old,21,finish,up,leave,19,0,15.0,0,0,0.0,JG05,PG06
62,JG05,2.82842712474619,PG06,1.8708286933869696,1.22474487139159,RM_type_A,2,1966,Y,2,level_1,0.0,1987,26,8,6,0,3,0,87.3,2.0,0,3,non-ambis,4,old,14,finish,up,leave,21,0,18.0,0,0,0.0,JG05,PG06
63,JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_C,2,1969,Y,3,level_1,0.0,1988,30,12,9,0,7,1,46.85,0.0,0,8,non-ambis,4,old,21,finish,stay,leave,19,0,12.75,0,0,0.0,JG05,PG06
64,JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_A,2,1965,Y,3,level_1,0.0,1984,28,9,8,2,7,0,80.3,0.0,1,7,non-ambis,4,old,19,finish,stay,leave,19,0,13.75,0,0,0.0,JG05,PG06
65,JG04,1.47309198626562,PG03,1.47309198626562,1.1916375287813,RM_type_A,2,1986,Y,0,level_1,0.0,2004,6,6,3,0,5,14,112.79,3.0,1,19,ambis,2,new,9,finish,stay,sick,18,0,34.0,0,0,0.0,JG04,PG03
66,JG04,1.0816653826392,PG03,1.0816653826392,1.22474487139159,RM_type_B,1,1991,Y,0,level_1,0.0,2009,7,4,4,0,4,4,69.09,0.0,0,8,ambis,2,new,8,finish,stay,sama,18,0,29.0,29,29,29.0,JG04,PG03
67,JG05,2.82842712474619,PG06,1.22474487139159,0.707106781186548,RM_type_A,2,1964,Y,1,level_1,0.0,1982,36,10,6,0,0,0,116.01,3.0,0,0,non-ambis,5,old,16,finish,up,sama,18,0,28.0,0,0,0.0,JG05,PG06
68,JG04,1.6062378404209,PG03,1.6062378404209,0.707106781186548,RM_type_C,2,1980,Y,2,level_1,0.0,1998,7,7,3,0,0,0,72.14,0.0,0,0,non-ambis,3,old,10,finish,stay,sama,18,0,13.333333333333334,0,0,0.0,JG04,PG03
69,JG05,2.73861278752583,PG06,2.54950975679639,1.1180339887498998,RM_type_A,2,1969,Y,2,level_1,0.0,1988,28,9,8,0,2,0,39.49,0.0,1,2,non-ambis,4,old,17,finish,up,leave,19,0,17.0,0,0,0.0,JG05,PG06
70,JG05,2.82842712474619,PG06,2.82842712474619,1.22474487139159,RM_type_A,2,1964,Y,3,level_1,0.0,1983,31,7,7,2,0,0,82.39,0.0,0,0,non-ambis,5,old,16,finish,stay,sama,19,0,14.0,0,0,0.0,JG05,PG06
71,JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_A,1,1967,Y,4,level_1,0.0,1985,30,12,8,3,2,0,74.83,0.0,0,2,non-ambis,4,old,23,finish,stay,leave,18,0,10.6,53,0,0.0,JG05,PG06
72,JG05,2.82842712474619,PG06,2.34520787991171,0.707106781186548,RM_type_A,2,1967,Y,3,level_1,0.0,1986,31,7,7,0,0,0,83.87,0.0,0,0,non-ambis,4,old,14,finish,up,sama,19,0,13.25,0,0,0.0,JG05,PG06
73,JG04,2.82842712474619,PG04,2.82842712474619,1.22474487139159,RM_type_A,1,1965,Y,2,level_1,0.0,1985,28,9,8,0,3,0,76.5,0.0,1,3,non-ambis,4,old,17,finish,stay,leave,20,0,18.333333333333332,55,0,0.0,JG04,PG04
74,JG05,2.82842712474619,PG06,2.34520787991171,1.22474487139159,RM_type_A,2,1969,Y,3,level_1,0.0,1989,27,7,7,0,2,0,68.12,0.0,1,2,non-ambis,4,old,14,finish,up,leave,20,0,12.75,0,0,0.0,JG05,PG06
75,JG04,2.82842712474619,PG04,2.12132034355964,0.0,RM_type_A,2,1976,Y,2,level_1,0.0,1995,23,8,9,2,0,0,45.55,0.0,0,0,non-ambis,3,old,19,finish,up,sama,19,0,14.666666666666666,0,0,0.0,JG04,PG04
76,JG05,2.82842712474619,PG06,0.0,1.5556349186104,RM_type_A,2,1967,Y,2,level_1,0.0,1989,27,7,4,0,5,0,65.96,0.0,0,5,non-ambis,4,old,11,finish,up,leave,22,0,17.666666666666668,0,0,0.0,JG05,PG06
77,JG05,2.82842712474619,PG06,1.0,1.70880074906351,RM_type_A,1,1968,Y,5,level_1,0.0,1987,29,6,5,1,1,0,71.43,0.0,0,1,non-ambis,4,old,12,finish,up,leave,19,0,8.666666666666666,52,0,0.0,JG05,PG06
78,JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_A,2,1988,N,0,level_1,0.0,2006,5,4,3,4,6,1,81.55,0.0,0,7,ambis,2,new,11,finish,stay,leave,18,0,32.0,0,0,0.0,JG04,PG03
79,JG05,2.82842712474619,PG06,2.23606797749979,1.58113883008419,RM_type_C,2,1968,Y,2,level_1,0.0,1988,28,14,8,2,5,2,53.57,0.0,0,7,non-ambis,4,old,24,finish,up,leave,20,0,17.333333333333332,0,0,0.0,JG05,PG06
80,JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_A,1,1969,Y,4,level_1,0.0,1987,30,9,5,0,10,0,76.49,0.0,0,10,non-ambis,4,old,14,finish,stay,leave,18,0,10.2,51,0,0.0,JG05,PG06
81,JG05,1.9364916731037096,PG06,2.82842712474619,1.22474487139159,RM_type_A,2,1965,Y,3,level_1,0.0,1985,30,8,6,0,3,1,46.72,0.0,0,4,non-ambis,4,old,14,finish,stay,leave,20,0,13.75,0,0,0.0,JG05,PG06
82,JG04,2.66082693913001,PG04,2.12132034355964,1.58113883008419,RM_type_A,2,1974,Y,3,level_1,0.0,1994,23,7,7,0,0,1,62.86,0.0,0,1,non-ambis,4,old,14,finish,up,sick,20,0,11.5,0,0,0.0,JG04,PG04
83,JG04,2.82842712474619,PG04,2.12132034355964,1.22474487139159,RM_type_B,1,1976,Y,2,level_1,0.0,1995,23,6,10,1,3,6,77.2,1.0,0,9,non-ambis,3,old,17,finish,up,sick,19,0,14.666666666666666,44,0,0.0,JG04,PG04
84,JG04,1.3856406460551,PG03,1.3856406460551,1.58113883008419,RM_type_A,2,1986,Y,1,level_1,0.0,2004,5,2,3,0,6,1,80.66,0.0,0,7,ambis,2,new,5,finish,stay,leave,18,0,17.0,0,0,0.0,JG04,PG03
85,JG05,2.82842712474619,PG06,2.12132034355964,1.84932420089069,RM_type_A,2,1976,N,0,level_1,0.0,1994,20,9,5,0,3,0,76.59,0.0,0,3,non-ambis,3,old,14,finish,up,leave,18,0,44.0,0,0,0.0,JG05,PG06
86,JG05,2.6925824035672496,PG06,2.34520787991171,1.58113883008419,RM_type_A,2,1971,Y,3,level_1,0.0,1990,27,10,7,0,5,0,62.09,0.0,0,5,non-ambis,4,old,17,finish,up,leave,19,0,12.25,0,0,0.0,JG05,PG06
87,JG05,2.82842712474619,PG06,2.34520787991171,0.707106781186548,RM_type_A,2,1966,Y,2,level_1,0.0,1986,29,5,7,9,6,1,95.78,2.0,1,7,non-ambis,4,old,21,finish,up,leave,20,0,18.0,0,0,0.0,JG05,PG06
88,JG04,1.3228756555323,PG03,1.3228756555323,0.707106781186548,RM_type_B,2,1988,Y,0,level_1,0.0,2006,6,4,2,0,3,0,61.5,0.0,0,3,ambis,2,new,6,finish,stay,leave,18,0,32.0,0,0,0.0,JG04,PG03
89,JG04,1.5,PG03,1.5,1.5556349186104,RM_type_C,2,1989,Y,0,level_1,0.0,2007,5,2,5,0,11,0,98.92,2.0,0,11,ambis,2,new,7,finish,stay,leave,18,0,31.0,0,0,0.0,JG04,PG03
90,JG04,1.2569805089976498,PG03,1.2569805089976498,1.22474487139159,RM_type_A,1,1991,N,0,level_1,0.0,2008,2,3,5,0,0,1,58.4,0.0,0,1,ambis,2,new,8,finish,stay,sick,17,0,29.0,0,0,0.0,JG04,PG03
91,JG04,2.82842712474619,PG04,2.82842712474619,1.5556349186104,RM_type_C,1,1971,Y,1,level_1,0.0,1991,25,7,8,0,9,1,71.41,0.0,0,10,non-ambis,4,old,15,finish,stay,leave,20,0,24.5,49,0,0.0,JG04,PG04
92,JG04,1.0816653826392,PG03,1.0816653826392,0.707106781186548,RM_type_B,1,1995,N,0,level_1,0.0,2013,3,2,2,0,7,2,100.11,3.0,0,9,ambis,1,new,4,finish,stay,leave,18,0,25.0,0,0,0.0,JG04,PG03
93,JG05,2.82842712474619,PG06,2.82842712474619,1.22474487139159,RM_type_A,2,1965,Y,4,level_1,0.0,1985,31,12,7,2,0,0,70.87,0.0,1,0,non-ambis,4,old,21,finish,stay,sama,20,0,11.0,0,0,0.0,JG05,PG06
94,JG04,1.1180339887498998,PG03,1.1180339887498998,1.22474487139159,RM_type_B,1,1994,N,0,level_1,0.0,2013,3,2,2,0,3,2,69.12,0.0,0,5,ambis,2,new,4,finish,stay,leave,19,0,26.0,0,0,0.0,JG04,PG03
95,JG05,2.82842712474619,PG06,1.22474487139159,1.22474487139159,RM_type_A,2,1977,Y,3,level_1,0.0,1996,22,10,6,9,3,1,35.06,0.0,0,4,non-ambis,3,old,25,finish,up,leave,19,0,10.75,0,0,0.0,JG05,PG06
96,JG04,1.0816653826392,PG03,1.0816653826392,1.22474487139159,RM_type_B,2,1993,N,0,level_1,0.0,2011,4,2,3,2,0,0,107.87,3.0,1,0,ambis,2,new,7,finish,stay,sama,18,0,27.0,0,0,0.0,JG04,PG03
97,JG05,2.82842712474619,PG06,2.82842712474619,1.1916375287813,RM_type_A,1,1963,Y,2,level_1,0.0,1983,31,9,10,2,4,0,45.08,0.0,0,4,non-ambis,5,old,21,finish,stay,leave,20,0,19.0,57,0,0.0,JG05,PG06
98,JG05,2.82842712474619,PG06,2.44948974278318,1.5556349186104,RM_type_A,2,1968,Y,3,level_1,0.0,1988,29,7,6,0,6,0,77.38,0.0,0,6,non-ambis,4,old,13,finish,up,leave,20,0,13.0,0,0,0.0,JG05,PG06
99,JG05,2.82842712474619,PG06,2.82842712474619,0.412310562561766,RM_type_C,1,1967,Y,2,level_1,0.0,1985,30,8,7,0,3,4,61.69,0.0,0,7,non-ambis,4,old,15,finish,stay,sick,18,0,17.666666666666668,53,0,0.0,JG05,PG06
100,JG04,1.3856406460551,PG03,1.3856406460551,0.707106781186548,RM_type_B,2,1989,Y,1,level_1,0.0,2007,3,2,2,0,1,0,43.42,0.0,0,1,ambis,2,new,4,finish,stay,leave,18,0,15.5,0,0,0.0,JG04,PG03
101,JG04,1.1916375287813,PG03,1.1916375287813,0.707106781186548,RM_type_B,2,1996,N,0,level_1,0.0,2013,3,2,2,0,4,0,40.94,0.0,0,4,ambis,1,new,4,finish,stay,leave,17,0,24.0,0,0,0.0,JG04,PG03
102,JG04,2.82842712474619,PG04,2.44948974278318,0.707106781186548,RM_type_A,2,1974,Y,2,level_1,0.0,1993,23,12,7,0,0,0,59.41,0.0,0,0,non-ambis,4,old,19,finish,up,sama,19,0,15.333333333333334,0,0,0.0,JG04,PG04
